name,size,obstacles,timesteps,mean_coverage,std_coverage,full_coverage_rate,mean_reward,std_reward,mean_steps,best_episode_idx,best_episode_coverage,best_episode_reward,best_episode_steps,approved,model_path
cpp_20x20_bigtwenty_easy_20260507_172013,20,16,2500000,0.9315364583333333,0.17118164084165488,0.08,32.521767283976075,208.67950381896367,1433.51,113,1.0,515.3000093102455,555,True,C:\Users\User\Downloads\cpp_project\cpp_project\models\cpp_20x20_bigtwenty_easy_20260507_172013.zip
cpp_20x20_bigtwenty_medium_20260507_183101,20,32,2500000,0.9293614130434784,0.10784295205670962,0.06,-15.64323219627142,138.96023316799628,1463.11,154,1.0,408.05001306533813,720,True,C:\Users\User\Downloads\cpp_project\cpp_project\models\cpp_20x20_bigtwenty_medium_20260507_183101.zip
cpp_20x20_bigtwenty_hard_20260507_193747,20,48,3000000,0.8703267045454546,0.2184193371383072,0.06,-111.28148727059364,224.80895431585714,1460.925,115,1.0,383.65001130104065,703,False,C:\Users\User\Downloads\cpp_project\cpp_project\models\cpp_20x20_bigtwenty_hard_20260507_193747.zip
